username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,111000,https://github.com/justjavac/free-programming-books-zh_CN
,angular,95600,https://github.com/angular
,storybookjs,83900,https://github.com/storybookjs
leonardomso,33-js-concepts,63000,https://github.com/leonardomso/33-js-concepts
,ionic-team,50900,https://github.com/ionic-team
,prettier,49000,https://github.com/prettier
Asabeneh,30-Days-Of-JavaScript,42600,https://github.com/Asabeneh/30-Days-Of-JavaScript
,SheetJS,34900,https://github.com/SheetJS
,angular,26700,https://github.com/angular
,angular,24300,https://github.com/angular
,wailsapp,24300,https://github.com/wailsapp
,NativeScript,24000,https://github.com/NativeScript
goldbergyoni,javascript-testing-best-practices,23900,https://github.com/goldbergyoni/javascript-testing-best-practices
sudheerj,javascript-interview-questions,23500,https://github.com/sudheerj/javascript-interview-questions
,nrwl,23100,https://github.com/nrwl
,jhipster,21400,https://github.com/jhipster
,pubkey,21100,https://github.com/pubkey
paperless-ngx,paperless-ngx,19000,https://github.com/paperless-ngx/paperless-ngx
teambit,bit,17800,https://github.com/teambit/bit
,sweetalert2,17200,https://github.com/sweetalert2
