username,repo_name,stars,repo_url
,sindresorhus,323000,https://github.com/sindresorhus
vinta,awesome-python,218000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,193000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,143000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,128000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,90100,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,86600,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,82400,https://github.com/Hack-with-Github/Awesome-Hacking
,jaywcjlove,74700,https://github.com/jaywcjlove
DopplerHQ,awesome-interview-questions,70200,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,67400,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,64300,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,58500,https://github.com/fffaraz/awesome-cpp
,binhnguyennus,58000,https://github.com/binhnguyennus
,sindresorhus,57700,https://github.com/sindresorhus
prakhar1989,awesome-courses,56400,https://github.com/prakhar1989/awesome-courses
,Solido,52900,https://github.com/Solido
,wasabeef,50200,https://github.com/wasabeef
tiimgreen,github-cheat-sheet,47400,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46900,https://github.com/vsouza/awesome-ios
