username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,196000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,175000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,58500,https://github.com/fffaraz/awesome-cpp
,azl397985856,54400,https://github.com/azl397985856
youngyangyang04,leetcode-master,50300,https://github.com/youngyangyang04/leetcode-master
,x64dbg,44300,https://github.com/x64dbg
,WerWolv,42600,https://github.com/WerWolv
Light-City,CPlusPlusThings,38700,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,36600,https://github.com/ClickHouse/ClickHouse
huihut,interview,34300,https://github.com/huihut/interview
carbon-language,carbon-lang,32200,https://github.com/carbon-language/carbon-lang
,CMU-Perceptual-Computing-Lab,30800,https://github.com/CMU-Perceptual-Computing-Lab
,doocs,30700,https://github.com/doocs
TheAlgorithms,C-Plus-Plus,30000,https://github.com/TheAlgorithms/C-Plus-Plus
,microsoft,29500,https://github.com/microsoft
,aseprite,28500,https://github.com/aseprite
,dragonflydb,25200,https://github.com/dragonflydb
,changkun,23800,https://github.com/changkun
gabime,spdlog,23700,https://github.com/gabime/spdlog
ethereum,solidity,23000,https://github.com/ethereum/solidity
