username,repo_name,stars,repo_url
,ovity,22800,https://github.com/ovity
,gitpod-io,12700,https://github.com/gitpod-io
,reviewdog,7800,https://github.com/reviewdog
Codium-ai,pr-agent,5500,https://github.com/Codium-ai/pr-agent
danger,danger,5400,https://github.com/danger/danger
danger,danger-js,5200,https://github.com/danger/danger-js
joho,awesome-code-review,4300,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2400,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2300,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2100,https://github.com/crev-dev/cargo-crev
houndci,hound,2000,https://github.com/houndci/hound
,mbj,1900,https://github.com/mbj
Tencent,CodeAnalysis,1600,https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,1600,https://github.com/reviewboard/reviewboard
mattzcarey,code-review-gpt,1500,https://github.com/mattzcarey/code-review-gpt
ryanmcdermott,code-review-tips,1500,https://github.com/ryanmcdermott/code-review-tips
coderabbitai,ai-pr-reviewer,1500,https://github.com/coderabbitai/ai-pr-reviewer
bit4woo,python_sec,1300,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1300,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,966,https://github.com/jiangsir404/Audit-Learning
