username,repo_name,stars,repo_url
,mrdoob,101000,https://github.com/mrdoob
pmndrs,react-three-fiber,27000,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23100,https://github.com/libgdx/libgdx
,BabylonJS,23000,https://github.com/BabylonJS
ssloy,tinyrenderer,20200,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,18800,https://github.com/FreeCAD/FreeCAD
,lettier,17700,https://github.com/lettier
aframevr,aframe,16500,https://github.com/aframevr/aframe
,blender,12700,https://github.com/blender
CesiumGS,cesium,12600,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,11300,https://github.com/MonoGame/MonoGame
,isl-org,11100,https://github.com/isl-org
mapbox,mapbox-gl-js,11000,https://github.com/mapbox/mapbox-gl-js
,metafizzy,10300,https://github.com/metafizzy
timzhang642,3D-Machine-Learning,9600,https://github.com/timzhang642/3D-Machine-Learning
,nerfstudio-project,9200,https://github.com/nerfstudio-project
,4ian,8900,https://github.com/4ian
a1studmuffin,SpaceshipGenerator,7600,https://github.com/a1studmuffin/SpaceshipGenerator
,FyroxEngine,7600,https://github.com/FyroxEngine
domlysz,BlenderGIS,7600,https://github.com/domlysz/BlenderGIS
