username,repo_name,stars,repo_url
,bregman-arie,65700,https://github.com/bregman-arie
ansible,ansible,62200,https://github.com/ansible/ansible
,trailofbits,28600,https://github.com/trailofbits
,MichaelCade,26400,https://github.com/MichaelCade
StreisandEffect,streisand,23200,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15800,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13800,https://github.com/ansible/awx
easzlab,kubeasz,10400,https://github.com/easzlab/kubeasz
,semaphoreui,10200,https://github.com/semaphoreui
,netbootxyz,8900,https://github.com/netbootxyz
geerlingguy,ansible-for-devops,8300,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,8000,https://github.com/khuedoan/homelab
,Tikam02,8000,https://github.com/Tikam02
geerlingguy,mac-dev-playbook,5900,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5500,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,5000,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4600,https://github.com/clong/DetectionLab
,ChristianLempa,4400,https://github.com/ChristianLempa
dev-sec,ansible-collection-hardening,3900,https://github.com/dev-sec/ansible-collection-hardening
,ansible,3900,https://github.com/ansible
