username,repo_name,stars,repo_url
,bregman-arie,65700,https://github.com/bregman-arie
,microsoft,61600,https://github.com/microsoft
pulumi,pulumi,20900,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18800,https://github.com/recommenders-team/recommenders
danny-avila,LibreChat,17200,https://github.com/danny-avila/LibreChat
getsops,sops,16200,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,14900,https://github.com/ramitsurana/awesome-kubernetes
,Azure,13900,https://github.com/Azure
caprover,caprover,12900,https://github.com/caprover/caprover
,milanm,11700,https://github.com/milanm
,infracost,10900,https://github.com/infracost
,prowler-cloud,10500,https://github.com/prowler-cloud
,google,9500,https://github.com/google
,microsoft,9400,https://github.com/microsoft
budtmo,docker-android,9400,https://github.com/budtmo/docker-android
,Netflix,8000,https://github.com/Netflix
microsoft,azuredatastudio,7500,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7300,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,7100,https://github.com/thangchung/clean-code-dotnet
,node-formidable,7000,https://github.com/node-formidable
