username,repo_name,stars,repo_url
,ccxt,32400,https://github.com/ccxt
python-telegram-bot,python-telegram-bot,25800,https://github.com/python-telegram-bot/python-telegram-bot
,discordjs,25200,https://github.com/discordjs
,wechaty,19900,https://github.com/wechaty
,RasaHQ,18600,https://github.com/RasaHQ
InstaPy,InstaPy,16700,https://github.com/InstaPy/InstaPy
hubotio,hubot,16600,https://github.com/hubotio/hubot
,leon-ai,15200,https://github.com/leon-ai
,pedroslopez,15000,https://github.com/pedroslopez
Rapptz,discord.py,14700,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,14100,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14000,https://github.com/gunthercox/ChatterBot
,lss233,12900,https://github.com/lss233
howdyai,botkit,11400,https://github.com/howdyai/botkit
feder-cr,linkedIn_auto_jobs_applier_with_AI,10400,https://github.com/feder-cr/linkedIn_auto_jobs_applier_with_AI
Mrs4s,go-cqhttp,10400,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10000,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8300,https://github.com/yagop/node-telegram-bot-api
,telegraf,8100,https://github.com/telegraf
microsoft,ailab,7700,https://github.com/microsoft/ailab
