username,repo_name,stars,repo_url
electron,electron,114000,https://github.com/electron/electron
puppeteer,puppeteer,88100,https://github.com/puppeteer/puppeteer
,microsoft,65300,https://github.com/microsoft
,FiloSottile,48200,https://github.com/FiloSottile
,jaywcjlove,30900,https://github.com/jaywcjlove
,ovity,22800,https://github.com/ovity
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
GoogleChrome,chrome-extensions-samples,15100,https://github.com/GoogleChrome/chrome-extensions-samples
,checkly,15000,https://github.com/checkly
,gildas-lormeau,14700,https://github.com/gildas-lormeau
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
casesandberg,react-color,12000,https://github.com/casesandberg/react-color
,crimx,11900,https://github.com/crimx
MetaMask,metamask-extension,11800,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10800,https://github.com/chromedp/chromedp
,moonD4rk,10600,https://github.com/moonD4rk
feder-cr,linkedIn_auto_jobs_applier_with_AI,10400,https://github.com/feder-cr/linkedIn_auto_jobs_applier_with_AI
ajayyy,SponsorBlock,9700,https://github.com/ajayyy/SponsorBlock
ultrafunkamsterdam,undetected-chromedriver,9500,https://github.com/ultrafunkamsterdam/undetected-chromedriver
