username,repo_name,stars,repo_url
realm,SwiftLint,18600,https://github.com/realm/SwiftLint
facebook,infer,14900,https://github.com/facebook/infer
,analysis-tools-dev,13200,https://github.com/analysis-tools-dev
,federico-busato,11700,https://github.com/federico-busato
,Kristories,9700,https://github.com/Kristories
super-linter,super-linter,9400,https://github.com/super-linter/super-linter
SonarSource,sonarqube,8900,https://github.com/SonarSource/sonarqube
,checkstyle,8300,https://github.com/checkstyle
,reviewdog,7800,https://github.com/reviewdog
facebook,pyre-check,6800,https://github.com/facebook/pyre-check
,detekt,6200,https://github.com/detekt
,trekhleb,5500,https://github.com/trekhleb
import-js,eslint-plugin-import,5500,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5200,https://github.com/pylint-dev/pylint
pmd,pmd,4800,https://github.com/pmd/pmd
simplecov-ruby,simplecov,4700,https://github.com/simplecov-ruby/simplecov
kucherenko,jscpd,4700,https://github.com/kucherenko/jscpd
phpro,grumphp,4100,https://github.com/phpro/grumphp
htmlhint,HTMLHint,3100,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2500,https://github.com/codeclimate/codeclimate
