username,repo_name,stars,repo_url
,ohmyzsh,172000,https://github.com/ohmyzsh
,junegunn,63500,https://github.com/junegunn
,sherlock-project,57100,https://github.com/sherlock-project
jesseduffield,lazygit,50100,https://github.com/jesseduffield/lazygit
,sharkdp,48500,https://github.com/sharkdp
BurntSushi,ripgrep,47400,https://github.com/BurntSushi/ripgrep
wagoodman,dive,45300,https://github.com/wagoodman/dive
,n8n-io,44800,https://github.com/n8n-io
,google,42800,https://github.com/google
chubin,cheat.sh,38100,https://github.com/chubin/cheat.sh
spf13,cobra,37400,https://github.com/spf13/cobra
,cli,36600,https://github.com/cli
,httpie,33300,https://github.com/httpie
sharkdp,fd,33200,https://github.com/sharkdp/fd
alebcay,awesome-shell,32500,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,30600,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,28300,https://github.com/tqdm/tqdm
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
google,python-fire,26800,https://github.com/google/python-fire
,angular,26700,https://github.com/angular
